Das Genie einer Nacht	一夜之间的天才	0.34
	《马赛曲》	
Die Marseillaise, 25. April 1792	1792年4月25日	0.53
Das Genie einer Nacht		
1792. Zwei Monate, drei Monate schon schwankt in der französischen Nationalversammlung die Entscheidung: Krieg gegen die Koalition der Kaiser und Könige oder Frieden. Ludwig XVI. ist selbst unentschlossen; er ahnt die Gefahr eines Sieges der Revolutionäre, er ahnt die Gefahr ihrer Niederlage. Ungewiß sind auch die Parteien. Die Girondisten drängen zum Kriege, um die Macht zu behalten, Robespierre und die Jakobiner fechten für den Frieden, um inzwischen selbst die Macht an sich zu reißen. Von Tag zu Tag wird die Lage gespannter, die Journale lärmen, die Klubs diskutieren, immer wilder schwirren die Gerüchte, und immer mehr wird die öffentliche Meinung durch sie erregt. Wie immer eine Entscheidung, wird es darum eine Art von Befreiung, wie am 20. April der König von Frankreich endlich den Krieg an den Kaiser von Österreich und den König von Preußen erklärt.	1792年，法国的国民大会对皇帝和国王们的联合行动[1]是战还是和已经犹豫了两三个月。路易十六[2]自己也在踌躇：他既担心革命党人的胜利带来的危害，又担心他们的失败带来的危害。各党派的态度也不一致。吉伦特派[3]为了保住自己的权力而急于开战，罗伯斯庇尔[4]和雅各布宾派[5]为了自己能在此期间夺取政权而力主和平。但形势一天比一天紧张，报纸杂志嚷嚷得沸沸扬扬，俱乐部里争论不休，谣言四起，而且愈来愈耸人听闻，从而使公众舆论变得愈来愈慷慨激昂。因此，当法国国王终于在4月20日向奥地利皇帝和普鲁士国王宣战时，这项决定就像通常那样成了某种解脱。	0.45
Lastend und seelenverstörend hat in diesen Wochen und Wochen die elektrische Spannung über Paris gelegen; aber noch drückender, noch drohender schwült die Erregung in den Grenzstädten. In allen Biwaks sind schon die Truppen versammelt, in jedem Dorf, in jeder Stadt werden Freiwillige und Nationalgarden ausgerüstet, überall die Festungen instand gesetzt, und vor allem im Elsaß weiß man, daß auf seiner Scholle, wie immer zwischen Frankreich und Deutschland, die erste Entscheidung fallen wird. An den Ufern des Rheins ist der Feind, der Gegner, nicht wie in Paris ein verschwommener, ein pathetisch-rhetorischer Begriff, sondern sichtbare, sinnliche Gegenwart; denn an dem befestigten Brückenkopf, von dem Turm der Kathedrale, kann man die heranrückenden Regimenter der Preußen mit freiem Auge wahrnehmen. Nachts trägt der Wind das Rollen der feindlichen Artilleriewagen, das Klirren der Waffen, die Trompetensignale über den gleichgültig im Mondlicht glitzernden Strom. Und alle wissen: nur ein einziges Wort, nur ein einziges Dekret ist vonnöten, und aus dem schweigenden Mund der preußischen Kanonen fährt Donner und Blitz, und der tausendjährige Kampf zwischen Deutschland und Frankreich hat abermals begonnen – diesmal im Namen der neuen Freiheit auf der einen Seite und im Namen der alten Ordnung auf der andern.	就在这几个星期里，巴黎上空犹如笼罩着电压，令人心烦意乱；而在那些边境城市，更是人心浮动，惶惶不可终日。部队已集中到所有的临时营地。每一座城市、每一个村庄，都有武装志愿人员和国民自卫军，到处都在检修要塞，尤其是阿尔萨斯地区的人都知道，法德之间的最初交锋又要像往常一样降临到他们这块土地上了。在莱茵河对岸的所谓敌人可不像在巴黎似的只是一个模模糊糊、慷慨激昂、修辞上的概念，而是一个看得见、感觉得到的现实，因为从加固的桥头堡旁、从主教堂的塔楼上，都能一目了然地看到正在开来的普鲁士军队。到了夜里，敌人炮车的滚动声、武器的叮当声和军号声，随风飘过月色下水波悠然闪烁的河流。大家都知道，只要一声令下，从鲁士大炮缄默的炮口就会发出雷鸣般的隆隆声和闪电般的火光。其实，法德之间的千年之争已经又一次开始——但这一次，一方是以争取新自由的名义，另一方是以维护旧秩序的名义。	0.49
Unvergleichlicher Tag darum, da am 25. April 1792 Stafetten die Nachricht der erfolgten Kriegserklärung aus Paris nach Straßburg bringen. Sofort strömt aus allen Gassen und Häusern das Volk auf die offenen Plätze, kriegsbereit marschiert die ganze Garnison zur letzten Parade, Regiment nach Regiment. Auf dem Hauptplatz erwartet sie der Bürgermeister Dietrich, die dreifarbige Schärpe um den Leib, die Kokarde auf dem Hut, den er grüßend den Soldaten entgegenschwenkt. Fanfarenruf und Trommelwirbel mahnt zur Stille. Mit lauter Stimme liest Dietrich an diesem und allen andern Plätzen der Stadt französisch und deutsch den Wortlaut der Kriegserklärung vor. Nach seinen letzten Worten intonieren die Regimentsmusiker das erste, das vorläufige Kriegslied der Revolution, das »Ça ira«, eigentlich eine prickelnde, übermütige, spöttische Tanzmelodie, aber die klirrenden, die donnernden Schritte der ausmarschierenden Regimenter geben ihr martialischen Takt. Dann zerstreut sich die Menge und trägt die angefachte Begeisterung in alle Gassen und Häuser; in den Cafés, in den Klubs werden zündende Ansprachen gehalten und Proklamationen verteilt. »Aux armes, citoyens! L'étendard de la guerre est déployé! Le signal est donné!«; so und mit ähnlichen Anrufen beginnen sie, und überall, in allen Reden, in allen Zeitungen, auf allen Plakaten, auf allen Lippen wiederholen sich solche schlagkräftige, rhythmische Rufe wie »Aux armes, citoyens! Qu'ils tremblent donc, les despotes couronnés! Marchons, enfants de la liberté!«, und jedesmal jubelt und jubelt die Masse den feurigen Worten zu.	因此，1792年4月25日也就成了不同寻常的一天。这一天，驿站的紧急信差们把已经宣战的消息从巴黎传到斯特拉斯堡[6]。人群顿时从大街小巷和各家各户走出来，一起拥向公共广场。全体驻军为出征在作最后的检阅，一个团队接着一个团队在行进，身披三色绶带[7]的迪特里希市长在中心广场上检阅部队，他挥动着缀有国徽的帽子向士兵们致意。军号声和战鼓声使所有的人都不再吭声。迪特里希用法语和德语向广场上和其他所有空地上的人群大声宣读宣战书。在他讲完话之后，团里的军乐队奏起了第一支临时性的革命战歌《前进吧！》，这本来是一支富有刺激性的、情而又诙谐的舞曲，但是将要出征的团队却以沉重有力的噔噔脚步声给这支曲子赋予了威武的节奏。然后，人群四散，把被激起的热情又带回到大街小巷和各家各户。在咖啡馆和俱乐部里，都有人在发表富有煽动性的演说和散发各种号召书。他们都是以诸如此类的号召开始：“公民们，武装起来！举起战旗！警钟敲响了！”所有的演讲、各种报纸、一切布告、每个人的嘴上，都在重复着这种铿锵有力、富有节奏的呼声：“公民们，武装起来，让那些戴着王冠的暴君们发抖吧！前进！自由的孩子们！”而每一次，群众都为这些热烈的言辞而欢呼。	0.53
Immer jubelt die große Masse auf den Straßen und Plätzen bei einer Kriegserklärung, immer aber regen sich in solchen Augenblicken des Straßenjubels auch andere Stimmen, leisere, abseitige; auch die Angst, auch die Sorge wacht auf bei einer Kriegserklärung, nur daß sie heimlich in den Stuben flüstert oder mit blasser Lippe schweigt. Ewig und überall sind Mütter, die sich sagen: Werden die fremden Soldaten nicht meine Kinder hinmorden, in allen Ländern sind die Bauern, die um ihre Habe sorgen, ihre Felder, ihre Hütten, ihr Vieh und ihre Ernte. Wird ihre Saat nicht zerstampft werden, ihr Haus nicht geplündert von den brutalen Horden, nicht mit Blut die Felder ihrer Arbeit gedüngt? Aber der Bürgermeister von Straßburg, Friedrich Baron Dietrich, eigentlich ein Aristokrat, aber wie die beste Aristokratie Frankreichs damals der Sache der neuen Freiheit mit ganzer Seele hingegeben, will nur die lauten, die klingenden Stimmen der Zuversicht zu Wort kommen lassen; bewußt verwandelt er den Tag der Kriegserklärung in ein öffentliches Fest. Die Schärpe quer um die Brust, eilt er von einer Versammlung zur andern, um die Bevölkerung anzufeuern. Er läßt Wein und Zehrung an die abmarschierenden Soldaten verteilen, und am Abend versammelt er in seinem geräumigen Hause auf der Place de Broglie die Generalität, die Offiziere und wichtigsten Amtspersonen zu einem Abschiedsfest, dem Begeisterung schon im vornherein den Charakter eines Siegesfestes gibt. Die Generäle, siegessicher wie immer Generäle, präsidieren, die jungen Offiziere, die im Krieg den Sinn ihres Lebens erfüllt sehen, haben freies Wort. Einer feuert den andern an. Man schwingt die Säbel, man umarmt sich, man trinkt sich zu, man hält bei gutem Wein leidenschaftliche und immer leidenschaftlichere Reden. Und abermals kehren dieselben stimulierenden Worte der Journale und Proklamationen in allen Ansprachen wieder: »Auf zu den Waffen, Bürger! Marschieren wir! Retten wir das Vaterland! Bald werden sie zittern, die gekrönten Despoten. Jetzt, da sich die Fahne des Sieges entrollt hat, ist der Tag gekommen, die Trikolore über die Welt zu tragen! Jeder muß jetzt sein Bestes geben, für den König, für die Fahne, für die Freiheit!« Das ganze Volk, das ganze Land will in solchen Augenblicken eine heilige Einheit werden durch den Glauben an den Sieg und durch Begeisterung für die Sache der Freiheit.	街道和空场上也一直有大批人群在为宣战而欢呼，但是，当满街的人群欢呼时刻，也总有另外一些人在悄悄嘀咕，因为恐惧和忧虑也随着宣战而来。不过，他们只是在斗室里窃窃私语，或者把话留在苍白的嘴边，欲言而止。普天下的母亲永远是一样的，她们在心里嘀咕：难道外国兵不会杀害我的孩子吗？普天下的农民也都是一样的，他们关心自己的财产、土地、茅舍、家畜和庄稼。他们也在心里嘀咕：难道自己的庄稼不会遭到践踏吗？难道自己的家不会遭到暴徒的抢劫吗？难道在自己劳动的土地上不会血流成河吗？可是斯特拉斯堡市长弗里德里克·迪特里希男爵——他原本是一个贵族——却像当时法国最进步的贵族那样，决心完全献身于争取新自由的事业，他要用洪亮的、铿锵有力的声音来表示信念；他有意要把那宣战的一天变为公众的节日。他胸前斜披着三色绶带，从一个集会赶到另一个集会去激励人民。他向出征的士兵犒劳酒食。晚上，他把各级指挥员、军官以及最重要的文职官员邀请到坐落在布罗格利广场旁自己宽敞的邸宅参加欢送会。热烈的气氛使欢送会从一开始就带有庆功会的色彩。对胜利始终充满信心的将军们坐在主宾席上。认为战争会使自己的生活充满意义的年轻军官们在自由交谈，彼此勉励。他们有的挥舞军刀，有的互相拥抱，有的正在为祝愿干杯，有的举着一杯美酒在做愈来愈慷慨激昂的演讲。而在他们的所有言辞中都一再重复着报刊和宣言上那些激励人心的话：“公民们，武装起来！前进！拯救我们的祖国！戴着王冠的暴君们很快就会颤抖。现在，胜利的旗帜已经展开，把三色旗插遍世界的日子已经来到！现在，每个人都必须为了法国国王、为了这三色旗、为了自由竭尽全力！”在这样的时刻，举国上下由于对胜利充满信心和对自由事业的热烈向往而达到了空前的团结。	0.45
Plötzlich, mitten im Reden und Toastieren, wendet sich der Bürgermeister Dietrich einem jungen Hauptmann vom Festungskorps, namens Rouget, zu, der an seiner Seite sitzt. Er hat sich erinnert, daß dieser nette, nicht gerade hübsche, aber sympathische Offizier vor einem halben Jahr anläßlich der Proklamierung der Konstitution eine recht nette Hymne an die Freiheit geschrieben hat, die der Regimentsmusikus Pleyel gleich vertonte. Die anspruchslose Arbeit hatte sich sangbar erwiesen, die Militärkapelle hatte sie eingelernt, man hatte sie am öffentlichen Platz gespielt und im Chor gesungen. Wären jetzt die Kriegserklärung und der Abmarsch nicht gegebener Anlaß, eine ähnliche Feier zu inszenieren? So fragt Bürgermeister Dietrich ganz lässig, wie man eben einen guten Bekannten um eine Gefälligkeit bittet, den Kapitän Rouget (der sich völlig unberechtigterweise selbst geadelt hat und Rouget de Lisle nennt), ob er nicht den patriotischen Anlaß wahrnehmen wolle und für die ausmarschierenden Truppen etwas dichten, ein Kriegslied für die Rheinarmee, die morgen gegen den Feind ausrücken soll.		
Rouget, ein bescheidener, unbedeutender Mann, der sich nie für einen großen Komponisten hielt – seine Verse wurden nie gedruckt, seine Opern refüsiert –, weiß, daß ihm Gelegenheitsverse leicht in die Feder fließen. Um der hohen Amtsperson und dem guten Freunde gefällig zu sein, erklärt er sich bereit. Ja, er wolle es versuchen. »Bravo, Rouget«, trinkt ein General von gegenüber ihm zu und mahnt ihn, er solle ihm dann gleich das Lied ins Feld nachschicken; irgendeinen schrittbeflügelnden, patriotischen Marschgesang könne die Rheinarmee wirklich brauchen. Inzwischen beginnt ein anderer eine Rede zu schwingen. Wieder wird toastiert, gelärmt, getrunken. Mit starker Woge geht die allgemeine Begeisterung über die kleine zufällige Zwiesprache hinweg. Immer ekstatischer, immer lauter, immer frenetischer wird das Gelage, und die Stunde steht schon bedenklich spät nach Mitternacht, da die Gäste das Haus des Bürgermeisters verlassen.	正当这样的演讲和祝酒进行之际，迪特里希市长突然转向坐在自己身旁的要塞部队的年轻上尉鲁热[8]。他记起来了，就是这位举止文雅、长得并不漂亮但却讨人喜欢的军官在半年前当宪法公布时写过一首相当出色的自由颂歌，团里的那位音乐家普莱耶很快就替这首颂歌谱了曲。这件简朴的作品朗朗上口，适宜演唱。于是军乐队将它练熟，在公共广场上进行演奏和大合唱。现在，宣战和出征不也是一个用音乐来表现庄严场面的极好机缘吗？因此，迪特里希市长很随便地问了问这位鲁热上尉（他擅自给自己加了一个贵族姓名的标志“德”，取名为鲁热·德·利勒，其实他是无权这样做的）——就好像请自己的一位好友帮一下忙似的——他是否愿意借着这种爱国情绪，为出发的部队创作一些歌词，为明天出征去讨伐敌人的莱茵军谱写一首战歌。	0.28
	鲁热是一个秉性谦逊、普普通通的人，他从来没有把自己当做一个了不起的作曲家——他的诗作从未刊印过，他写的歌剧也从未上演过——但他知道自己善于写那些即兴诗。为了让市长——这位高官和好友高兴，他说他愿意从命。啊，他愿意试试。“好极了！鲁热。”坐在对面的一位将军一边向他敬酒，一边对他说，写完之后立刻把战歌送到战场上交给他，莱茵军正需要一首能鼓舞士气的爱国主义进行曲。正说着话，又有一个人开始夸夸其谈起来，接着又是敬酒，又是喧闹，又是欢饮。于是，这次两人之间的偶然短谈被普遍的热烈场面的巨浪所淹没。酒宴变得愈来愈令人销魂、愈来愈喧哗热闹、愈来愈激动疯狂。当宾客离开市长邸宅时，午夜已经过去好久了。	
